building_type,price,construction_Year,building_condition,heating_Type,bedroom,province
house,349000,1930,good,gas,3,Antwerp
house,495000,2000,justrenovated,gas,3,Antwerp
apartment,359000,1974,justrenovated,gas,2,Antwerp
apartment,229000,1950,justrenovated,gas,1,Antwerp
apartment,359500,2021,justrenovated,gas,3,Antwerp
apartment,410000,1966,justrenovated,gas,3,Antwerp
apartment,415000,1960,good,fueloil,4,Antwerp
house,444000,1964,good,gas,5,Antwerp
house,539000,2007,good,gas,4,Antwerp
apartment,685000,2016,justrenovated,gas,3,Antwerp
apartment,169000,1975,justrenovated,fueloil,1,Antwerp
house,170000,1934,torenovate,gas,2,Antwerp
house,750000,1993,good,gas,9,Antwerp
apartment,460000,1925,good,gas,2,Antwerp
house,310000,2017,justrenovated,gas,2,Antwerp
house,449000,2012,justrenovated,gas,3,Antwerp
apartment,289900,2022,good,gas,2,Antwerp
apartment,319000,2022,justrenovated,gas,2,Antwerp
apartment,649000,1921,justrenovated,gas,2,Antwerp
apartment,395000,2021,justrenovated,gas,3,Antwerp
apartment,449000,1988,good,electric,2,Antwerp
apartment,290000,1994,good,electric,3,Antwerp
apartment,550000,1977,justrenovated,gas,3,Antwerp
house,749000,2011,justrenovated,gas,4,Antwerp
apartment,137000,2009,good,gas,1,Antwerp
apartment,259000,1997,good,gas,3,Antwerp
house,675000,2012,justrenovated,gas,3,Antwerp
apartment,335000,2022,good,gas,2,Antwerp
apartment,330000,2022,good,gas,2,Antwerp
house,460000,1918,good,gas,3,Antwerp
house,460000,1918,good,gas,3,Antwerp
apartment,365000,2022,good,gas,2,Antwerp
house,415000,1977,good,gas,4,Antwerp
apartment,249500,1978,justrenovated,gas,2,Antwerp
house,275000,1979,torenovate,gas,4,Antwerp
house,299000,1950,torenovate,gas,3,Antwerp
house,255000,1957,torenovate,gas,4,Antwerp
house,399000,1972,good,fueloil,4,Antwerp
house,399000,1967,good,gas,3,Antwerp
apartment,214000,1970,justrenovated,gas,1,Antwerp
house,399000,1972,good,fueloil,4,Antwerp
house,389000,1950,justrenovated,gas,4,Antwerp
apartment,220000,1972,good,gas,2,Antwerp
house,448000,1965,good,gas,3,Antwerp
apartment,245000,1971,good,gas,2,Antwerp
house,425000,1992,torenovate,electric,2,Antwerp
house,325000,1933,good,gas,7,Antwerp
apartment,430000,2016,good,gas,2,Antwerp
apartment,259000,2008,justrenovated,gas,2,Antwerp
house,289500,1992,good,gas,3,Antwerp
apartment,299000,2013,justrenovated,gas,2,Antwerp
house,335000,1951,good,gas,3,Antwerp
apartment,169000,1969,good,gas,2,Antwerp
apartment,275000,2018,justrenovated,gas,2,Antwerp
house,547000,1923,justrenovated,gas,4,Antwerp
house,309000,1969,good,gas,3,Antwerp
house,380000,1969,good,fueloil,4,Antwerp
apartment,199000,1968,justrenovated,gas,2,Antwerp
house,349000,1994,torenovate,fueloil,3,Antwerp
apartment,275000,2013,good,gas,1,Antwerp
house,329000,1955,torenovate,gas,3,Antwerp
house,330000,1929,justrenovated,gas,3,Antwerp
apartment,253250,2021,justrenovated,gas,2,Antwerp
apartment,365000,2020,good,gas,2,Antwerp
apartment,365000,2020,good,gas,2,Antwerp
house,319000,1982,good,gas,2,Antwerp
house,217000,1954,torenovate,gas,2,Antwerp
house,399000,1994,good,gas,3,Antwerp
apartment,230500,2021,justrenovated,gas,1,Antwerp
house,450000,1978,good,gas,3,Antwerp
apartment,444000,2009,justrenovated,gas,3,Antwerp
house,299000,1981,good,gas,3,Antwerp
house,285000,1950,good,gas,2,Antwerp
house,498000,1992,good,gas,2,Antwerp
apartment,211700,2022,good,gas,1,Antwerp
apartment,275000,2021,good,gas,2,Antwerp
apartment,490000,2020,justrenovated,gas,2,Antwerp
house,698000,2001,good,gas,3,Antwerp
house,259000,1949,torenovate,gas,2,Antwerp
house,469000,1960,justrenovated,gas,4,Antwerp
house,255000,1918,torenovate,gas,4,Antwerp
house,775000,1957,good,gas,5,Antwerp
apartment,250000,1958,good,gas,1,Antwerp
house,475000,1993,good,gas,3,Antwerp
house,279500,2022,good,gas,3,Antwerp
apartment,349000,1958,justrenovated,fueloil,2,Antwerp
apartment,397000,2016,justrenovated,gas,2,Antwerp
apartment,255000,1979,good,gas,2,Antwerp
house,199000,1850,torenovate,gas,2,Antwerp
house,249000,1930,torenovate,gas,3,Antwerp
house,285000,1931,torenovate,gas,3,Antwerp
house,277500,2022,good,gas,2,Antwerp
house,249000,1960,torenovate,fueloil,3,Antwerp
apartment,160000,1973,torenovate,gas,2,Antwerp
house,325000,1966,good,gas,2,Antwerp
apartment,235000,1998,justrenovated,gas,2,Antwerp
house,289000,1965,torenovate,fueloil,4,Antwerp
house,429000,1977,good,gas,3,Antwerp
house,345000,1919,justrenovated,gas,3,Antwerp
apartment,389000,1997,good,gas,2,Antwerp
apartment,495000,1961,justrenovated,gas,3,Antwerp
apartment,199000,2021,good,gas,1,Antwerp
house,339000,1957,torenovate,fueloil,4,Antwerp
house,320000,1973,torenovate,gas,2,Antwerp
house,519000,1957,torenovate,gas,3,Antwerp
house,259000,1964,torenovate,gas,3,Antwerp
house,369000,1958,good,gas,5,Antwerp
