building_type,price,zip,kitchen_type,construction_Year,building_condition,heating_type,bedroom,province
house,345000,2660,installed,1919,justrenovated,gas,3,Antwerp
house,350000,2531,semiequipped,1965,torenovate,fueloil,3,Antwerp
apartment,185000,2060,semiequipped,1977,good,gas,2,Antwerp
apartment,375000,2000,hyperequipped,2008,good,gas,2,Antwerp
apartment,249000,2800,installed,1999,good,gas,2,Antwerp
house,375000,2170,installed,1955,justrenovated,gas,2,Antwerp
apartment,395000,2018,installed,2021,justrenovated,gas,1,Antwerp
house,775000,2382,semiequipped,1957,good,gas,5,Antwerp
apartment,199000,2861,installed,2013,good,gas,1,Antwerp
house,210000,2223,semiequipped,1947,good,fueloil,2,Antwerp
apartment,395000,2100,hyperequipped,1976,justrenovated,gas,2,Antwerp
house,289000,2950,semiequipped,2002,justrenovated,gas,3,Antwerp
house,420000,2920,installed,1910,justrenovated,gas,3,Antwerp
apartment,279000,2800,installed,1962,justrenovated,gas,2,Antwerp
house,419000,2300,hyperequipped,1968,justrenovated,fueloil,3,Antwerp
house,329000,2830,installed,1930,justrenovated,gas,2,Antwerp
apartment,269000,2000,hyperequipped,1976,justrenovated,gas,2,Antwerp
house,249000,2880,installed,1978,torenovate,gas,4,Antwerp
apartment,225000,2850,semiequipped,2001,good,gas,2,Antwerp
house,449000,2440,semiequipped,2004,good,electric,3,Antwerp
house,399000,2235,hyperequipped,1965,justrenovated,gas,3,Antwerp
house,395000,2940,semiequipped,1975,good,gas,2,Antwerp
apartment,275000,2830,installed,2021,good,gas,2,Antwerp
house,449000,2150,installed,1983,justrenovated,gas,3,Antwerp
house,498000,2860,semiequipped,1992,good,gas,2,Antwerp
apartment,239000,2845,installed,1992,good,electric,2,Antwerp
apartment,649000,2018,hyperequipped,1899,torenovate,gas,5,Antwerp
house,265000,2490,installed,1953,justrenovated,gas,3,Antwerp
apartment,309500,2000,installed,1955,justrenovated,gas,3,Antwerp
house,429000,2950,installed,2008,justrenovated,gas,3,Antwerp
house,215000,2450,installed,1961,good,fueloil,3,Antwerp
house,429000,2100,installed,1953,good,gas,3,Antwerp
apartment,299500,2580,installed,2009,good,gas,2,Antwerp
house,425000,2280,hyperequipped,1913,justrenovated,gas,3,Antwerp
apartment,335000,2220,semiequipped,2014,justrenovated,gas,2,Antwerp
house,698000,2382,installed,2001,good,gas,3,Antwerp
apartment,444000,2070,hyperequipped,2009,justrenovated,gas,3,Antwerp
